tier,fpo_name,district,existing_capacity,feedstock_crops,biorefinery_fit,contact,source
1 - demonstrated processing,Nachalur Farmers Producer Company Ltd,Karur,"Seed processing machine (Fowler Westrup) — OWNED; warehouse (rented); mandi/TIN licence; NABARD-linked","Paddy, Sesame, Sorghum, Pulses, Banana, Sugarcane, Tapioca","BEST FIT: owns processing machinery + paddy (RBO) + sesame (oilseed) + pulses (dal) feedstock in one FPO","nrmurugan2009@gmail.com / 09752 22211","TN FPO list 2015 (machinery cols), #31"
1 - demonstrated processing,Sharvani Farmers Producer Company Ltd,Namakkal (Rasipuram),"Milk chilling + processing plant, 8000 L/day, machinery ~Rs60 lakh — OWNED; own brand 'ANI'; bank credit","Milk (dairy)","Proven processing + branding + offtake capability; template for a value-added + branded unit, though dairy not grain","P.Saravanan (MD) / 09943 89829","TN FPO list 2015, #52"
1 - demonstrated processing,Erode Precision Farm Producers Company Ltd,Erode,"Warehouse (rented); fertilizer + pesticide licences; bank credit access","Turmeric, Paddy, Banana, Vegetable, Pomegranate","Aggregation + storage + paddy feedstock + credit — a ready aggregator to bolt processing onto","S.Jayachandran (CEO) / 09944230407","TN FPO list 2015, #2"
2 - rice/RBO (Cauvery delta),Cauvery Farmers Producer Company Ltd,Nagapattinam,"Delta paddy aggregation","Paddy (rice bowl)","Rice-bran-oil feedstock: TN's paddy belt — bran for RBO extraction","Mr.Kumarasamy / 9688237255","TNSFAC list, #50"
2 - rice/RBO (Cauvery delta),Rajarajachozhan Farmers Producer Company Ltd,Thanjavur,"Delta paddy aggregation","Paddy","RBO feedstock; Thanjavur = granary of the south","rajarajachozhanfpc@gmail.com","TNSFAC list, #78"
2 - rice/RBO (Cauvery delta),Pattukottai CFFPC,Thanjavur,"Delta paddy aggregation","Paddy","RBO feedstock; delta cluster","A.Gawaskar / 7639233865","TNSFAC list, #80"
2 - groundnut/oilseed,Groundnut Producer Company Ltd,Tiruvannamalai,"Groundnut aggregation","Groundnut","Oilseed crush: direct groundnut-oil feedstock","Boominathan / 9445890710","TNSFAC list, #104"
2 - groundnut/oilseed,Trichy Pasumai Groundnut Producer Company Ltd,Trichy,"Groundnut aggregation","Groundnut","Oilseed crush feedstock","T.Thirumurugan / 9443885690","TNSFAC list, #110"
2 - pulses/dal,Veeranarayanan Pulses Farmer Producer Company Ltd,Cuddalore,"Pulse aggregation","Pulses","Dal-milling partner; import-substitution (tur/urad/masur)","A.Siva / 9715828589","TNSFAC list, #9"
2 - pulses/dal,V.Pudur Pulses Producer Company Ltd,Thoothukudi,"Pulse aggregation","Pulses","Dal-milling partner","B.Bavithra (CEO) / 7639577350","TNSFAC list, #113"
2 - coconut/copra oil,Karpaga Viruksham Coconut Producer Company Ltd,Coimbatore,"Coconut aggregation (est. 2019)","Coconut","Copra -> coconut-oil feedstock","Mathanraj (CEO) / vrishamfpcl@gmail.com","TNSFAC list, #4"
2 - coconut/copra oil,Peravurani Coconut Agro Producer Company Ltd,Thanjavur,"Coconut aggregation","Coconut","Copra/coconut-oil feedstock","Prithiveraj / 8940462863","TNSFAC list, #79"
2 - maize/starch,Muthur Maize Producer Company Ltd,Tiruppur,"Maize aggregation","Maize","Maize wet-milling: starch/derivatives","D.Babu / 8148022148","TNSFAC list, #93"
2 - maize/starch,Perambalur District Maize and Onion Farmer Producer Co Ltd,Perambalur,"Maize aggregation","Maize","Maize wet-milling feedstock","Mr.S.Tamilarasan / 9750847339","TNSFAC list, #59"
2 - millet,Dharmapuri District Millets Producer Company Ltd,Dharmapuri,"Millet aggregation","Millets","Millet processing (poha/flour/fortification)","S.Lenin / 9578666633","TNSFAC list, #15"
