item,esy_2024_25,esy_2025_26,note
Tender total ethanol,~ (Q3 top-up 29.34 cr L),~1050 cr L,BPCL/OMC (IOCL/BPCL/HPCL/MRPL/NRL)
40% FCI-rice minimum of grain-based feedstock,NOT present,"YES (A >= 40% x (A+B+C), Q1-Q3)",NEW clause in ESY 2025-26
FCI rice barred quarter,n/a,Q4 (Aug-Oct 2026),FCI-rice allocation valid only to 30.06.2026
FCI rice reserve price,Rs 2250/qtl (Rs22.50/kg),Rs 2320/qtl (Rs23.20/kg),ex-FCI godown; raised Rs70/qtl
Ethanol-from-FCI-rice basic rate,Rs 58.50/L,Rs 60.32/L (Rs60320/KL),cheapest grain feedstock rate
Damaged food grains ethanol rate,Rs 64.00/L,Rs 64.00/L (Rs64000/KL),
Maize ethanol rate,Rs 66.07/L +5.79 incentive,Rs 66.07/L +5.79 incentive,highest grain rate
FCI rice permitted for ethanol,varies,52 LMT (1-Nov-25 to 30-Jun-26),the 'if sufficient grain' cap
Max ethanol from FCI rice,~,~234 cr L (~22% of 1050),52 LMT rice ~450 L/tonne
OMSS rice reserve (context),Rs 2900/qtl (2023-24),Rs 2900/qtl (2023-24),ethanol-rice is ~Rs5.8/kg CHEAPER than OMSS rice
Rice production 2023-24,,1378 LMT (137.8 MT),DA&FW Final Estimates (PIB 2058534)
Rice FCI procurement,,~520 LMT (~38% of crop),central pool
Rice PDS+welfare allocation,,~400 LMT,NFSA+PM-POSHAN+ICDS (Year-End Review)
Rice carry-over (opening stock 1-Jul),297/317/253/326 LMT,2021/22/23/24,DFPD Foodgrain Bulletin; norm ~135 LMT -> ~150-190 LMT persistent surplus
